state,city_latitude,city_longitude,date,time
PA,40.444534542102026,-79.97341339889367,2019-10-09,21:00:00
TX,25.92713744787323,-97.47352777314428,2019-10-11,03:00:00
OH,39.0968,-84.1488,2019-10-11,09:30:00
CA,34.425198390151515,-118.5129646780303,2019-10-11,11:15:00
CA,36.9102,-121.75639948542025,2019-10-11,12:59:00
VA,38.89005765306122,-77.46109132653062,2019-10-11,15:20:00
PA,40.31863571428572,-75.13193928571428,2019-10-11,16:00:00
FL,27.88919589090909,-82.76890778181819,2019-10-11,18:41:00
FL,30.7015,-85.9547,2019-10-11,19:30:00
VA,38.5083,-77.9943,2019-10-11,19:30:00
WA,47.149114814814816,-122.28930879629628,2019-10-11,19:30:00
TX,33.09971293800539,-96.65475606469002,2019-10-11,19:49:00
AL,32.47288957345971,-85.05782132701422,2019-10-11,20:00:00
AZ,33.50378574057038,-112.077080174793,2019-10-11,20:00:00
MO,38.56483381294964,-92.21101510791368,2019-10-11,20:00:00
CT,41.5362,-72.0833,2019-10-11,20:00:00
VA,38.4663,-77.8203,2019-10-11,20:05:00
NY,42.90550146611642,-78.85560749348393,2019-10-11,20:23:00
TN,35.949673017170895,-84.01413319705642,2019-10-11,21:30:00
CA,34.04364759232729,-118.29956048233046,2019-10-11,22:00:00
AR,36.17821444444444,-94.10371444444444,2019-10-12,03:00:00
IL,42.121580434782615,-87.8396847826087,2019-10-12,04:18:00
CO,39.74019963011889,-104.97711054161162,2019-10-12,07:28:00
TX,30.067444827586204,-95.64934597701148,2019-10-12,08:00:00
OK,35.8235,-96.374,2019-10-12,10:00:00
VA,38.794262913096695,-77.09885924112608,2019-10-12,11:26:00
NC,34.22778777225831,-77.88318009170806,2019-10-12,14:49:00
ND,46.8057,-102.7565,2019-10-12,15:25:00
LA,32.7002,-93.689,2019-10-12,16:00:00
TX,30.442091752577323,-97.63386020618556,2019-10-12,16:41:00
TX,32.87363290657439,-96.96641245674742,2019-10-12,17:10:00
CA,33.94545446076675,-117.40941580078824,2019-10-12,18:00:00
TX,32.87363290657439,-96.96641245674742,2019-10-12,18:20:00
KY,38.22153870454997,-85.66253357838266,2019-10-12,18:30:00
TX,32.1705,-96.006,2019-10-12,18:34:00
WA,47.2013,-122.5711,2019-10-12,20:19:00
TX,32.5892,-96.944,2019-10-12,21:30:00
NC,35.40101557591623,-80.86876897905759,2019-10-12,21:30:00
MO,38.64146332453826,-90.5524751978892,2019-10-12,21:30:00
MD,38.95820233333334,-76.93267499999999,2019-10-12,22:00:00
OK,36.111605596107054,-95.93798929440388,2019-10-12,23:15:00
NC,35.20391464346695,-80.83452070900073,2019-10-13,00:14:00
IL,38.7631,-89.6789,2019-10-13,03:30:00
NH,44.0677,-71.0732,2019-10-13,08:00:00
IL,41.88082154885885,-87.66846953246178,2019-10-13,11:25:00
NJ,40.9953,-73.9503,2019-10-13,16:56:00
AZ,33.40788678459938,-111.75088054110302,2019-10-13,14:27:00
FL,26.199315176470588,-81.71960788235295,2019-10-13,19:29:00
GA,33.4035,-84.6559,2019-10-13,18:50:00
TX,30.57007252559727,-97.8675447098976,2019-10-13,19:48:00
ID,42.5582,-114.4658701754386,2019-10-13,20:00:00
GA,33.82100507315219,-84.42299163974918,2019-10-13,21:00:00
OH,39.99382762603116,-82.98248417965169,2019-10-13,21:03:00
PA,41.4787,-75.1978,2019-10-13,22:15:00
IL,41.88082154885885,-87.66846953246178,2019-10-13,23:25:00
VA,38.64724615384616,-77.31174558404558,2019-10-13,23:35:00
GA,33.8654,-84.3385,2019-10-14,01:40:00
WA,46.0594,-118.3361,2019-10-14,03:25:00
FL,27.35480054347826,-82.50858278985507,2019-10-14,06:00:00
FL,29.7876,-81.4609,2019-10-14,07:00:00
IN,39.5643,-86.0776,2019-10-14,08:00:00
TX,32.74023188229325,-97.33552857432775,2019-10-14,10:16:00
VA,38.85273512974052,-77.31120419161677,2019-10-14,17:28:00
TN,35.92761725146199,-86.84283245614036,2019-10-14,17:37:00
TX,34.1962,-101.7259,2019-10-14,19:28:00
ME,44.82142718446602,-68.79837063106797,2019-10-14,19:30:00
AZ,31.53293548387097,-110.26349569892471,2019-10-14,19:35:00
IL,40.0033,-90.4253,2019-10-14,19:45:00
TX,30.3167016280526,-97.75799137271272,2019-10-14,20:00:00
NH,42.98425130434782,-71.45713420289854,2019-10-14,20:00:00
NJ,40.318475,-74.071875,2019-10-14,20:13:00
MI,42.64713018867925,-83.49646226415095,2019-10-15,00:00:00
NH,43.07289532163743,-70.80296374269005,2010-08-13,12:21:00
CA,38.576237102734666,-121.44233422025128,2011-06-14,20:00:00
AL,30.67290954954955,-88.15823621621622,2011-10-12,01:00:00
CO,40.14957715133532,-105.03690148367951,2011-12-14,00:30:00
IL,40.6161,-89.46349999999998,2012-04-04,02:30:00
NY,42.1213,-73.858,2012-11-06,16:30:00
NY,40.75256378421113,-73.9844567179912,2013-05-04,03:15:00
ME,44.2332,-68.6438,2013-10-05,23:00:00
ID,43.7308,-116.281,2013-11-15,17:45:00
OR,45.510005224458205,-122.66458212074302,2014-02-01,23:00:00
WA,47.60567891170866,-122.33084005928434,2014-08-14,22:00:00
TX,28.4222,-97.76160000000002,2015-06-14,01:00:00
RI,41.6842,-71.2649,2015-07-04,22:05:00
MA,42.35140689655173,-71.18813103448277,2015-08-19,00:00:00
GA,33.46392479564033,-84.11147629427794,2015-10-06,07:00:00
WI,44.2095,-88.4162,2015-10-06,14:00:00
PA,40.6421,-79.7273,2015-10-14,21:35:00
